Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2025-04-06,S001,P0001,Electronics,East,412,55,3,64.83,31.02,0,Sunny,1,31.66,Spring
2025-04-06,S001,P0002,Groceries,South,276,264,183,299.37,85.42,10,Cloudy,0,93.36,Summer
2025-04-06,S001,P0003,Electronics,West,426,395,101,373.67,51.33,0,Sunny,1,47.9,Winter
2025-04-06,S001,P0004,Toys,West,300,83,6,99.53,84.36,5,Rainy,1,77.29,Autumn
2025-04-06,S001,P0005,Groceries,South,309,22,91,21.36,36.19,0,Snowy,0,36.77,Spring
2025-04-06,S001,P0006,Furniture,North,217,21,47,19.87,18.8,5,Sunny,1,19.31,Spring
2025-04-06,S001,P0007,Electronics,North,189,187,83,220.48,60.71,5,Cloudy,0,57.47,Autumn
2025-04-06,S001,P0008,Toys,West,103,29,53,24.08,43.75,15,Cloudy,1,43.2,Summer
2025-04-06,S001,P0009,Furniture,West,121,117,4,137.85,99.77,10,Snowy,1,93.04,Autumn
2025-04-06,S001,P0010,Electronics,West,72,25,154,26.18,45.41,0,Cloudy,1,44.74,Summer
2025-04-06,S001,P0011,Toys,South,318,292,36,337.24,49.43,0,Cloudy,0,45.04,Spring
2025-04-06,S001,P0012,Electronics,South,467,87,188,98.56,12.74,5,Sunny,1,13.4,Autumn
2025-04-06,S001,P0013,Clothing,South,59,44,140,35.58,64.27,10,Rainy,0,59.05,Summer
2025-04-06,S001,P0014,Clothing,South,207,202,190,241.52,94.27,0,Sunny,0,99.09,Winter
2025-04-06,S001,P0015,Electronics,West,266,155,49,147.76,84.37,20,Sunny,1,86.39,Spring
2025-04-06,S001,P0016,Toys,North,121,52,38,50.77,87.01,15,Cloudy,1,81.16,Winter
2025-04-06,S001,P0017,Clothing,South,101,86,155,79.44,68.81,15,Cloudy,1,62.4,Spring
2025-04-06,S001,P0018,Groceries,East,495,128,120,133.25,98.3,0,Sunny,0,102.82,Winter
2025-04-06,S001,P0019,Clothing,West,360,118,164,113.02,13.01,15,Snowy,0,13.79,Winter
2025-04-06,S001,P0020,Toys,South,328,45,4,38.68,65.01,15,Cloudy,0,58.98,Spring
